start_time,end_time,duration,average_B,MFR_axis_x,MFR_axis_y,MFR_axis_z,altitude,azimuth,beta,diameter,speed,density
2023-03-12/09:34:00,2023-03-12/10:11:00,37,8.698,-0.204831243,-0.962529242,-0.177712157,100.24,-102.01,0.123651706,368967.0398,369.825,4.656
2023-03-12/16:00:00,2023-03-12/16:53:00,53,4.6,0.611853302,-0.663575828,0.430467933,64.5,-47.32,0.14083159,337052.9026,367.882,4.743
2023-03-12/19:56:00,2023-03-12/20:58:00,62,4.775,0.972007394,-0.123240761,0.200033382,78.46,-7.23,0.108816795,131054.8554,367.071,4.797
2023-03-12/22:54:00,2023-03-13/03:28:00,274,4.636,0.857696712,-0.319210649,0.40306443,66.23,-20.41,0.12173111,1479677.673,364.698,5.18
2023-03-13/04:58:00,2023-03-13/12:34:00,456,5.329,0.371441215,-0.306321949,0.876469254,28.78,-39.51,0.058776569,4294627.124,322.517,4.78
2023-03-14/08:59:00,2023-03-14/09:31:00,32,9.646,-0.573218584,0.328511775,-0.750666738,138.65,150.18,0.981869698,273961.1014,431.346,12.008
2023-03-14/12:46:00,2023-03-14/13:21:00,35,9.062,-0.153737098,-0.959614277,-0.235595658,103.63,-99.1,0.782355845,442526.7487,425.181,11.193
2023-03-15/00:22:00,2023-03-15/00:52:00,30,7.995,-0.433132529,-0.498381883,-0.751007199,138.68,-130.99,0.822657645,302232.615,411.054,10.717
2023-03-15/06:45:00,2023-03-15/07:23:00,38,17.336,-0.999977231,0.001300037,0.006628946,89.62,179.93,0.461479187,117.749648,433.148,9.909
2023-03-15/07:42:00,2023-03-15/08:33:00,51,15.839,-0.712436616,0.700960934,0.032982435,88.11,135.47,0.349631131,356937.7651,436.975,9.777
2023-03-15/18:10:00,2023-03-15/19:09:00,59,11.169,-0.337829798,0.916247964,0.215315238,77.57,110.24,0.46536386,1104221.857,476.63,10.605
2023-03-15/19:32:00,2023-03-15/23:30:00,238,12.145,-0.1320647,0.042186737,-0.990342975,172.03,162.28,0.287341714,2946890.154,476.283,9.42
2023-03-16/09:48:00,2023-03-16/12:18:00,150,4.134,-0.965153456,-0.13284868,0.225455433,76.97,-172.16,0.314755499,685601.712,477.17,2.514
2023-03-16/14:26:00,2023-03-16/18:03:00,217,4.689,-0.778228879,0.120240785,0.616361976,51.95,171.22,0.164193884,1963259.965,456.922,2.184
2023-03-16/20:04:00,2023-03-16/20:53:00,49,4.766,-0.374680698,-0.118934512,0.919493854,23.15,-162.39,0.204736724,496898.0778,457.629,2.488
2023-03-18/01:22:00,2023-03-18/02:21:00,59,5.718,-0.955241501,0.295749187,-0.006790083,90.39,162.8,0.281364858,151650.7161,400.336,4.053
2023-03-18/14:47:00,2023-03-18/16:17:00,90,6.05,-0.82206893,0.424106568,0.37991637,67.67,152.71,0.168597877,549283.5774,388.571,3.304
2023-03-18/19:16:00,2023-03-18/22:53:00,217,5.643,-0.424230933,0.781578004,-0.457344443,117.22,118.49,0.238971576,2044554.743,400.381,3.479
2023-03-19/06:52:00,2023-03-19/07:36:00,44,6.21,-0.487677127,0.743559659,-0.457482398,117.22,123.26,0.362381071,510781.6389,406.696,4.2
2023-03-19/09:17:00,2023-03-19/11:47:00,150,5.477,-0.19219023,0.980454981,0.042082243,87.59,101.09,0.548283041,1659658.656,408.105,4.114
